Timestamp,Open price,Close price,High price,Low price,Volume
2022-08-05 08:15:00,23085.5,23063,23093.5,23061.5,4947605
2022-08-05 08:30:00,23063,23087.5,23088,23063,2220293
2022-08-05 08:45:00,23087.5,23186,23220,23087.5,10681991
2022-08-05 09:00:00,23186,23271.5,23439,23184,31750882
2022-08-05 09:15:00,23271.5,23238.5,23312.5,23237.5,5970219
2022-08-05 09:30:00,23238.5,23238,23255,23231,3445025
2022-08-05 09:45:00,23238,23274,23276,23230,3336959
2022-08-05 10:00:00,23274,23196,23284,23172.5,6236066
2022-08-05 10:15:00,23196,23190.5,23210,23152,4561485
2022-08-05 10:30:00,23190.5,23195.5,23202.5,23175.5,1928705
2022-08-05 10:45:00,23195.5,23177.5,23195.5,23153,1939330
2022-08-05 11:00:00,23177.5,23235,23249,23177,4542216
2022-08-05 11:15:00,23235,23119,23246,23109,8445144
2022-08-05 11:30:00,23119,23115.5,23139,23110.5,2844916
2022-08-05 11:45:00,23115.5,23138.5,23140.5,23088,2584629
2022-08-05 12:00:00,23138.5,23138,23149.5,23118,3089038
2022-08-05 12:15:00,23138,23138,23194,23119,5114590
2022-08-05 12:30:00,23138,23157,23168,23133.5,1849782
2022-08-05 12:45:00,23157,23123,23157,23121.5,1494118
2022-08-05 13:00:00,23123,23124.5,23150,23100,2817517
2022-08-05 13:15:00,23124.5,23180,23198,23118.5,3457417
2022-08-05 13:30:00,23180,23207,23220,23168,3482670
2022-08-05 13:45:00,23207,23185.5,23240,23146.5,5655116
2022-08-05 14:00:00,23185.5,23183.5,23200,23142.5,2749975
2022-08-05 14:15:00,23183.5,23277,23300,23138.5,12336389
2022-08-05 14:30:00,23277,23370.5,23409.5,23250,17826814
2022-08-05 14:45:00,23370.5,23399.5,23454.5,23336.5,16319120
2022-08-05 15:00:00,23399.5,23384.5,23489.5,23361,19164430
2022-08-05 15:15:00,23384.5,23400.5,23410.5,23337,7694353
2022-08-05 15:30:00,23400.5,23069,23400.5,23051,63920914
2022-08-05 15:45:00,23069,23006,23069,22901.5,36571794
2022-08-05 16:00:00,23006,22931,23072.5,22847.5,24338955
2022-08-05 16:15:00,22931,22993,22999,22929,5206818
2022-08-05 16:30:00,22993,23039,23090,22967,11199754
